,Review,Positive,Negative,Neutral
0,best  great performancei got around  backup bit low thank rapid charger fast display ok price rang decent speaker mani customis optionsvantag softwar good customisationoveral good perform till nowwil updat later problem occur,0.395,0.101,0.504
1,good perfom,0.744,0.0,0.256
2,great perform usual also game laptop issu batteri stand    hrs without adapt prefer use adaptor use softwar play game,0.277,0.0,0.723
3,wife happi best product ,0.583,0.0,0.417
4,light weight laptop new amaz featur batteri life awesom,0.0,0.0,1.0
5,amaz laptop much happi thank flipkart,0.333,0.0,0.667
6,good laptop person use,0.492,0.0,0.508
7,thank much flipkart,0.556,0.0,0.444
8,amaz product,0.0,0.0,1.0
9,good normal work  student onlin class watch movi etcnot havi task game buis work offic workedit etcoveral good laptop rang budget laptop,0.225,0.0,0.775
10,laptop receiv good packag good condit perform wise littl bit slow compar  processor intel general usag laptop perform good,0.44,0.0,0.56
11,nice,1.0,0.0,0.0
12,good product dilevari slow,0.492,0.0,0.508
13,affort thousand extra prefer laptop configi came know done limit laptoppoor webcam even suitabl day day onlin classessound low need connect extern speakerskeypad visibl due colour laptop bodi key backlight availablelow batteri backupto save cost asus done compromisesperform wise doesnt see issu sinc im use hp laptop also small th,0.114,0.038,0.848
14,good,1.0,0.0,0.0
15,good batteri backup good enough,0.659,0.0,0.341
16,ill updat review month usagea good laptop batteri upto mark,0.212,0.204,0.584
17,love ,1.0,0.0,0.0
18,good,1.0,0.0,0.0
19,best laptop   segment classi perform  ssd memorybatteri  good enoughdesign sleekyrecommend buy,0.441,0.0,0.559
20,awesom qualiti like,0.556,0.0,0.444
21,incred laptop perform good ,0.492,0.0,0.508
22,good look perform also good,0.659,0.0,0.341
23,love  prize realli fast workingand good productmust tri,0.675,0.0,0.325
24,first thank flipkart faster deliveri  guy awesom laptop much slik look classi much premium look display great perform even faster student bachelor student work faster requir love laptop game dont know cant play game much boot time less  second,0.264,0.0,0.736
25,good laptop  got  good studentsprofession built heavi task normal excel power point run smooth sound qualiti averag audibl overal good laptop,0.408,0.0,0.592
26,awesom specif reason price slim well design built qualiti awesom,0.189,0.0,0.811
27,deliveri done  day purchas quit long time takenbut overal product greatcompitableslim  handi perform outstand rangeeveryth work fine,0.101,0.0,0.899
28,nice product price rang  go,0.412,0.0,0.588
29,perform laptop nicedisplay qualiti awesom,0.0,0.0,1.0
30,nice laptop,0.737,0.0,0.263
31,everi thing fine tn display annoy alway,0.186,0.299,0.515
32,nice product price point recommend youyou go,0.515,0.0,0.485
